user_lifetime_value,geo.country,user_id,user_properties.save_payment_info,user_properties.push_opt_in,event_name.add_to_wishlist,web_sessions,app_sessions,transactions,items_viewed,session_duration,promotion_clicks,ecommerce.purchase_value,items_viewed_filtered_by_sale,ecommerce.discount,items_viewed_per_app_session,transactions_app,items_added_to_cart_per_session_count,user_engagement_proxy,is_churned
940.1,CA,52,0,0,7,15,19,19,29,312.61,13,375.44,54,0.28,4.15,16,1.63,0,1
895.88,CA,53,0,0,1,9,2,3,8,65.27,3,222.41,38,0.22,7.3,2,0.96,1,0
601.92,UK,54,0,0,3,28,15,9,63,455.23,9,307.22,67,0.29,1.35,15,2.78,7,0
922.66,IN,55,1,1,1,9,29,11,160,300.24,19,84.38,58,0.56,1.98,4,2.92,5,1
97.61,DE,56,0,0,4,11,44,16,119,188.44,14,338.45,88,0.03,1.81,15,1.03,1,0
204.02,US,57,1,1,8,29,22,13,51,299.94,17,93.73,95,0.91,2.62,2,4.26,6,0
54.78,UK,58,0,0,0,40,27,13,88,318.24,19,348.51,61,0.16,5.25,19,0.42,3,0
332.08,UK,59,1,0,4,0,39,1,141,342,12,118.65,12,0.22,1.11,14,1.78,1,1
394.79,DE,60,1,0,8,4,4,19,52,270.32,7,63.19,80,0.52,8.68,2,3.4,5,0
278.64,US,61,0,1,0,19,19,10,186,367.4,8,86.82,5,0.71,2.97,19,1.37,8,1
830.45,FR,62,1,0,8,7,39,15,77,552.05,15,5.99,82,0.1,1.63,13,4.14,8,0
363.19,TR,63,1,1,7,42,43,18,40,223.74,18,360.78,76,0.32,6.76,15,3.7,7,0
288.13,IN,64,0,1,3,11,0,5,195,438.17,15,367.54,59,0.97,0.38,16,3.95,2,0
547.27,TR,65,1,1,9,0,29,18,67,537.73,6,259.89,89,0.26,6.2,19,0.6,2,0
149.51,FR,66,0,0,4,19,20,4,7,279.03,13,84.87,13,0.31,6.98,17,0.7,1,1
804.18,UK,67,1,0,4,27,19,3,1,271.64,13,46.36,94,0.84,2.15,17,1.43,4,0
83.81,US,68,0,0,5,42,5,14,104,365.25,3,14.47,53,0.05,0.42,13,2.59,3,1
987.02,UK,69,0,0,6,36,21,3,124,358.93,14,87.05,3,0.46,3.64,17,3.74,6,1
774.52,CA,70,1,1,7,46,17,19,109,485.89,2,445.97,38,0.38,0.99,14,4.18,3,0
206.73,UK,71,1,1,7,36,7,9,85,291.13,4,124.56,71,0.32,1.16,14,3.52,8,0
15.47,UK,72,1,1,1,11,38,2,168,597.71,0,180.36,24,0.29,2.54,5,4.64,1,1
817.31,FR,73,1,0,8,36,31,4,119,45.09,2,57.15,76,0.09,2.95,14,3.69,5,1
709.79,FR,74,1,1,6,48,32,5,126,11.87,14,115.07,31,0.31,5.3,17,1.53,6,0
731.72,FR,75,0,0,3,48,15,7,182,387.72,7,262.02,58,0.04,6.78,3,1.33,3,0
773.56,TR,76,1,1,3,43,11,6,15,186.08,3,305.84,62,0.78,5.93,7,3.48,5,0
83.3,CA,77,0,0,7,27,37,9,61,151.83,1,126.45,37,0.4,1.48,14,0.96,6,0
364.88,FR,78,0,0,3,46,33,5,112,194.02,9,33.58,91,0.44,1.72,2,0.46,3,0
124.71,US,79,1,1,5,14,13,13,175,161.07,3,198.56,52,0.89,8.79,14,2.66,7,1
864.47,TR,80,0,1,4,5,35,3,157,28.17,2,120.93,93,0.66,5.58,12,4.11,8,0
627.07,DE,81,0,1,2,43,32,12,11,583.2,1,113.68,66,0.01,8.7,8,0.51,0,0
337.59,US,82,0,1,9,19,22,19,34,140.24,16,480.13,27,0.94,3.72,1,3.96,6,1
72.92,IN,83,0,0,1,49,49,16,10,443.08,19,310.07,2,0.24,6.14,7,4.06,8,0
317.87,IN,84,1,1,8,13,44,6,63,459.93,12,280.65,97,0.11,5.24,19,2.41,9,0
331.93,US,85,0,1,9,1,1,3,49,558.26,4,210.81,79,0.77,3.19,16,0.29,4,1
732.31,FR,86,1,1,8,8,40,13,148,28.02,8,217.33,21,0.5,4.7,12,0.87,1,0
641.18,DE,87,1,0,0,36,20,2,68,524.51,5,272.75,95,0.43,5.02,0,3.54,9,1
888.34,DE,88,0,0,9,19,1,4,47,321.06,4,349.73,37,0.25,2.01,1,3.56,5,0
477.49,TR,89,1,1,2,25,26,15,19,383.2,9,352.56,71,0.55,3.15,14,4.49,6,0
128.4,DE,90,1,0,7,28,8,19,100,390.24,7,89.99,71,0.27,7.91,11,2.91,1,0
716.11,IN,91,1,1,5,0,0,3,194,493.68,6,252.56,61,0.9,9.16,13,0.62,1,1
763.18,CA,92,0,0,4,34,10,1,171,206.71,6,208.92,56,0.22,3.6,1,0.61,9,1
565.66,FR,93,1,0,4,5,2,17,160,442.5,5,435.91,5,0.88,3.07,17,3.61,9,1
773.26,DE,94,1,0,5,36,22,18,188,321.86,19,317.55,77,0.56,1.95,6,0.92,0,1
498.86,TR,95,1,0,6,4,25,18,136,478.1,2,268.59,31,0.83,6.78,5,1.64,3,0
527.51,IN,96,0,1,0,32,3,16,67,594.42,18,62.12,98,0.71,3.23,13,2.44,6,1
433.27,CA,97,1,1,8,48,17,13,34,128.38,14,304.79,9,0.7,9.88,7,0.12,8,1
35.16,UK,98,0,1,2,13,5,18,64,596.84,3,63.02,2,0.32,3.26,1,1.24,2,1
116.81,UK,99,0,0,3,11,34,12,7,62.99,11,171.92,58,0.23,3.94,16,2.04,6,0
41.11,CA,100,0,1,9,41,21,11,44,11.37,5,75.71,75,0.21,6.03,4,1.4,6,0
640.05,IN,101,0,1,0,19,42,5,86,36.06,18,347.58,48,0.86,8.02,13,0.68,6,1
321.21,TR,102,0,1,9,49,14,3,174,211.65,3,107.09,58,0.82,4.7,19,3.64,1,1
513.48,CA,103,0,0,2,23,21,18,167,383.41,14,198.97,30,0.44,4.23,2,4.07,5,0
908.49,FR,104,1,0,1,42,36,15,75,50.73,8,448.36,92,0.13,9.96,4,1.29,1,1
256.8,FR,105,0,0,1,33,41,12,181,13.34,4,106.14,68,0.38,0.1,15,3.87,5,1
416.28,UK,106,1,1,0,24,11,3,75,562.88,12,256.36,61,0.62,8.95,17,1.93,9,1
758,DE,107,1,1,7,49,46,16,173,494.94,17,212.54,51,0.45,1.49,16,2.53,2,1
236.51,TR,108,0,1,2,28,48,0,46,487.42,4,13.97,88,0.78,7.86,10,4.28,1,0
86.21,UK,109,1,0,2,38,41,17,14,531.81,15,397.42,40,1,6.18,16,3.75,5,0
296.85,DE,110,1,0,5,30,37,19,104,423.02,18,39.18,30,0.19,3.42,15,4.03,1,0
169.61,DE,111,1,1,7,46,17,16,146,71.6,13,239.76,84,0.46,8.74,1,0.68,4,1
930.4,FR,112,1,0,8,42,44,14,25,245.47,15,282.54,83,0.43,0.13,3,0.35,1,1
810.04,IN,113,0,0,8,49,34,10,51,436.66,14,316.07,21,0.3,2.27,6,4.47,2,0
637.07,US,114,1,0,3,22,29,12,92,175.4,3,345.87,3,0.2,5.67,1,1.94,2,0
872.75,IN,115,0,0,4,43,23,0,149,415.57,6,130.37,12,0.07,3.52,5,1.44,5,0
805.64,US,116,1,1,1,37,41,16,20,24.45,15,9.94,44,0.89,6.1,16,3.62,5,1
194.7,CA,117,1,0,8,19,29,5,50,190.62,7,363.1,41,0.42,0.24,6,4.18,9,0
893.63,FR,118,0,0,7,22,13,3,37,333.99,16,270.15,48,0.5,1.16,4,4.31,2,1
543.95,DE,119,1,0,2,44,5,19,19,382.93,15,418.88,19,0.92,1.27,4,1.58,2,1
809.37,TR,120,1,0,8,15,2,15,156,350.45,9,411.59,76,0.78,1.89,19,4.26,0,0
897.13,US,121,1,1,2,49,15,14,178,421.68,9,422.45,80,0.13,4.59,15,0.2,6,0
324.82,IN,122,0,1,8,41,6,14,131,13.59,1,245.12,53,0.57,7.52,18,0.25,7,1
118.95,DE,123,1,0,1,7,13,5,54,69.56,8,170.15,35,0.44,9.06,8,3.12,1,0
235.66,US,124,0,0,9,49,8,14,198,522.68,16,396.82,96,0.8,8.35,4,0.32,3,0
432.84,US,125,1,0,8,20,14,13,91,412.23,10,228.39,0,0.72,1.97,7,1.62,9,1
819.83,US,126,0,0,7,0,20,10,27,76.63,9,95.8,14,0.69,4.41,8,3.36,6,1
862.12,TR,127,0,0,8,7,34,6,3,506.82,16,428.21,76,0.34,1.99,4,1.69,7,1
16.88,FR,128,1,0,4,28,1,8,149,152.92,3,441.87,16,0.8,2.64,9,0.9,0,1
515.64,TR,129,1,1,1,31,26,15,75,292.17,15,235.82,23,0.05,5.04,1,1.41,3,1
423.24,UK,130,0,0,7,37,1,4,172,95.67,19,42.47,57,0.16,0.68,8,2.29,5,0
229.89,DE,131,0,1,5,4,34,19,66,428.96,14,196.97,71,0.34,2.18,10,2.38,2,1
128.67,FR,132,1,1,7,46,17,9,85,403.44,4,402.75,90,0.08,9.35,3,3.92,4,1
344.24,FR,133,0,0,4,21,13,17,193,134.56,5,451.38,22,0.23,4.66,1,3.75,9,1
943.48,FR,134,1,1,9,46,19,2,161,519.41,16,105.72,45,0.83,4.45,5,2.28,8,0
329.97,IN,135,1,1,1,33,17,12,90,246.77,0,38.15,71,0.95,0.15,13,4.23,2,1
523.6,FR,136,1,1,5,0,9,10,182,182.58,18,439.29,7,0.3,2.47,0,0.57,4,1
705.99,TR,137,1,1,4,25,24,16,104,99.87,3,197.76,58,0.26,8.66,17,1.28,7,1
369.99,FR,138,0,1,4,42,1,12,0,167.04,16,273.17,89,0.28,1.65,6,4.14,5,0
972.06,CA,139,1,1,0,9,24,5,71,23,8,484.19,58,0.28,4.15,0,1.89,3,1
962.82,DE,140,0,0,1,29,32,16,86,354.12,1,37.95,12,0.04,0.14,0,4.91,7,1
259.26,FR,141,1,1,7,49,35,12,165,506.92,7,325.92,38,0.93,4.78,0,2.33,2,1
502.28,DE,142,0,1,2,17,30,18,5,333.9,14,41.68,27,0.21,0.21,3,3.96,2,0
307.87,CA,143,1,1,9,16,13,18,152,139.37,6,190.86,88,0.42,8.2,3,2.01,3,0
291.99,CA,144,0,0,2,25,0,9,144,29.86,5,402.89,60,0.01,8.25,17,2.12,8,0
46.52,DE,145,0,1,7,7,45,2,60,136.63,0,219.57,15,0.86,7.88,10,1.91,4,0
613.47,US,146,1,0,7,46,15,13,11,255.51,14,498.61,1,0.73,2.83,0,3.6,7,1
507.65,UK,147,1,1,1,39,45,18,5,458.17,6,281.73,81,0.95,8.37,9,2.74,5,1
60.96,IN,148,1,0,7,48,2,4,26,120.83,16,163.98,16,0.78,5.43,8,4.72,2,0
285.86,US,149,1,0,0,11,34,4,135,434.68,1,113.96,29,0.31,3.74,3,1.25,7,0
909.18,US,150,0,1,5,26,40,19,123,521.49,8,178.51,12,0.25,6.25,5,0.5,8,1
247.17,TR,151,1,1,7,7,5,16,105,277.83,8,189.4,95,0.7,0.12,15,1.97,7,1
153.45,IN,152,0,0,2,24,24,9,192,494.64,12,39.01,92,0.36,1.43,1,3.08,3,0
494.56,IN,153,0,1,7,45,12,4,184,337.25,5,187.94,93,0.57,7.42,17,4.3,5,0
985.79,US,154,1,0,0,3,33,3,92,385.88,5,234.8,81,0.01,2.44,9,1.73,0,0
249.63,FR,155,0,0,8,32,7,5,108,320.5,19,362.76,12,0.06,5.98,16,3.27,3,0
675.41,TR,156,0,0,8,0,20,3,98,283.27,19,330.08,42,0.54,3.85,12,1.75,7,1
764,TR,157,0,0,4,18,33,6,167,148.45,2,355.84,84,0.57,8.55,17,3.09,0,0
245.26,CA,158,0,0,9,30,3,6,141,188.88,16,9.14,93,0.75,9.52,12,4.42,2,0
730.93,IN,159,1,1,3,15,24,17,34,181.08,16,112.75,20,0.13,8.84,16,1.16,0,1
374.11,US,160,1,0,5,13,14,2,175,342.34,11,332.53,54,0.51,2.71,4,2.02,8,1
635.98,CA,161,1,0,6,47,3,0,83,80.77,15,244.57,80,0.19,1.94,10,4.97,1,1
637.19,DE,162,1,1,4,4,44,3,55,550.91,14,7.63,39,0.09,4.74,6,4.34,8,1
540.42,UK,163,0,0,9,40,11,5,176,435.19,12,403.22,82,0.41,0.07,9,2.82,3,1
99.39,TR,164,0,1,8,25,31,8,140,246.85,0,387.54,14,0.16,0.26,16,2.58,1,0
836.95,DE,165,1,1,2,27,31,13,188,103.59,16,276.47,72,0.22,5.53,14,1.42,3,0
327.57,DE,166,1,1,6,1,27,11,48,530.38,2,37.9,51,0.32,5.2,17,2.59,9,0
194.65,FR,167,1,0,9,49,12,19,45,496.03,14,384.42,73,0.26,9.95,18,4.24,5,1
50.37,UK,168,0,0,9,5,30,3,112,435.82,3,293.94,94,0.09,2.02,1,3.43,6,0
594.98,DE,169,1,0,4,8,13,11,189,170.21,3,392.07,52,0.09,2.58,3,1.45,2,1
680.79,DE,170,1,1,6,32,19,9,135,247.44,17,377.11,86,0.19,1.14,2,1.01,2,0
26.42,UK,171,1,0,1,40,17,6,42,70.62,16,402.49,51,0.05,9.18,6,1.33,9,0
516.97,UK,172,0,1,3,24,28,2,147,121.53,18,261.41,29,0.63,7.78,17,0.85,7,1
234.23,DE,173,0,0,1,47,5,13,123,471.98,10,74.46,32,0.29,8.22,9,0.48,4,1
648.72,UK,174,0,1,6,12,31,9,96,431.87,19,337.22,56,0.28,9.03,6,2.1,3,0
182.62,DE,175,0,0,1,8,28,15,89,360.16,2,312.13,51,0.33,5.25,7,0.57,6,0
694.03,DE,176,0,0,0,12,42,15,38,538.48,7,372.42,8,0.66,4.51,5,0.86,6,0
392.87,FR,177,0,0,8,30,1,9,84,354.13,13,89.09,53,0.87,3.3,0,2.74,8,0
937.36,US,178,0,1,0,40,22,12,176,285.51,0,101.51,0,0.76,5.89,3,0.82,8,0
146.15,DE,179,0,1,7,10,18,5,191,210.82,13,445.75,43,0.73,4.54,13,0.32,4,1
347.66,CA,180,1,0,1,3,30,11,61,564.86,1,376.24,98,0.48,4.52,16,1.59,7,1
122.34,TR,181,1,0,7,33,4,8,105,58.8,3,454.57,74,0.69,9.37,19,1.1,9,1
925.45,IN,182,0,1,2,37,18,12,106,559.22,18,380.56,97,0.55,9.84,17,2.58,0,1
878.57,US,183,0,1,5,45,33,3,53,497.76,5,300.59,79,0.22,7.96,10,0.51,8,0
265.36,US,184,1,1,2,3,9,10,125,86.66,0,328.8,8,0.21,7.57,13,3.76,7,0
663.38,US,185,0,0,6,37,24,19,8,343.34,16,445.12,31,0.3,6.81,8,4.53,5,1
819.05,FR,186,0,1,9,18,1,17,87,521.26,7,291.51,14,0.91,1.66,14,3.72,2,0
559.65,DE,187,0,0,8,5,10,10,36,347.37,18,318.03,11,0.55,0.59,11,2.66,2,1
534.35,FR,188,1,1,1,33,49,3,48,545.25,0,82.46,96,0.73,6.91,9,4.3,7,0
249.43,DE,189,1,0,4,17,30,17,40,566.36,4,239.59,77,0.35,7.29,18,3.47,4,0
102.17,FR,190,1,1,5,12,14,0,16,259.21,15,359.62,56,0.41,0.47,18,0.05,9,0
898.24,FR,191,1,1,3,40,8,6,87,232.62,5,139.12,7,0.13,9.28,5,1.97,6,1
901.41,TR,192,1,1,3,22,22,5,20,562.43,7,105.12,71,0.17,0.91,19,4.25,4,1
636.77,CA,193,0,1,3,18,18,14,50,408.33,12,160.34,26,0.83,2.86,5,1.73,7,1
345.64,FR,194,1,1,1,44,8,17,58,78.45,15,124.54,61,0.58,6.72,7,0.18,9,1
355.72,TR,195,0,0,3,10,34,10,166,34.95,2,111.38,11,0.34,1.7,0,3.73,9,0
728.7,UK,196,0,1,0,0,20,19,182,343.13,18,215.3,64,0.8,0.55,16,4.01,3,0
898.14,CA,197,1,1,5,23,8,14,40,558.8,11,454.38,41,0.25,3.31,16,0.8,1,0
888.22,FR,198,1,1,0,6,27,15,38,508.11,15,255.99,61,0.98,7.66,14,2.69,2,0
782.08,IN,199,0,0,9,24,45,6,140,408.75,10,98.02,10,0.34,4.14,6,0.96,7,1
645.61,US,200,0,1,5,20,6,9,191,92.08,9,43.1,42,0.34,6.53,18,3.6,6,0
93.3,UK,201,0,0,0,14,15,11,10,160,19,349.6,94,0.31,5.8,2,1.36,1,0
170.01,UK,202,1,1,5,0,15,13,146,526.55,3,194.49,16,0.12,0.22,10,1.58,5,0
899.57,TR,203,1,1,9,11,32,4,138,117.86,11,411.81,96,0.11,9.89,19,4.22,8,1
610.36,UK,204,1,0,7,6,3,17,76,174.28,1,331.46,31,0.65,0.41,18,2.38,3,1
19.11,CA,205,1,1,1,14,3,4,126,86.46,18,399.14,92,0.88,9.68,8,3.35,8,1
110.46,FR,206,1,0,1,20,38,2,45,408.9,4,139.61,84,0.79,5.5,9,2.01,1,0
666.87,FR,207,0,0,3,18,39,4,44,566.95,7,347.72,84,0.14,9.63,1,1.49,1,1
15.01,IN,208,1,1,2,28,16,16,0,168.69,6,135.71,39,0.55,1.15,0,3.13,8,0
169.2,US,209,0,0,3,24,36,18,167,290.49,13,469.84,22,0.11,4.9,15,0.77,6,0
553.25,TR,210,0,1,6,32,38,18,107,384.26,2,320.01,55,0.05,1.7,17,1.86,6,0
694.98,US,211,0,1,0,48,28,11,18,599.69,17,165.63,5,0.66,0.51,16,1.05,0,1
655.44,UK,212,1,0,5,31,35,8,75,71.84,15,138.41,85,0.54,6.18,5,3.48,5,1
232.03,IN,213,1,0,2,48,37,0,71,304.16,18,99.51,49,0.08,2.08,13,4.72,6,0
715.06,US,214,1,0,9,34,38,17,199,237.22,18,348.85,36,0.03,5.88,14,4.98,5,0
244.88,CA,215,0,0,6,43,49,3,188,520.83,17,113.26,63,0.99,1.12,13,2.25,5,1
332.15,FR,216,0,1,9,37,36,9,108,290.82,19,299.68,53,0.03,3.32,2,1.26,1,1
749.03,UK,217,0,1,1,25,34,6,11,75.48,15,135.99,71,0.44,7.82,18,2.21,5,1
653.14,IN,218,0,0,1,10,6,0,188,384.31,7,332.67,48,0.5,4.37,11,4.24,3,0
850.73,US,219,0,1,3,34,26,16,160,464.76,0,408.4,98,0.12,6.28,1,1.03,8,0
661.04,TR,220,0,1,0,7,27,1,44,11.7,16,390.12,10,0.17,6.47,2,4.76,0,0
572.63,CA,221,1,1,2,45,21,10,89,516.78,11,381.62,87,0.35,8.44,17,1.71,7,1
102.74,CA,222,1,1,8,13,13,8,102,119.75,10,97.92,48,0.76,3.25,0,4.93,4,1
374.04,US,223,1,0,6,9,6,6,196,335.72,4,48.75,20,0.51,6.87,19,4.19,0,1
272.55,FR,224,1,0,6,1,36,16,7,255.32,11,350.98,65,0.64,9.62,5,4.04,3,0
251.55,US,225,0,1,3,45,21,16,152,434.6,16,187.33,62,0.99,7.3,4,1.59,0,0
973.28,UK,226,0,0,1,8,4,1,90,228.99,5,219.01,82,0.77,4.9,0,0.04,5,1
399.17,US,227,1,0,3,2,1,5,173,523.16,0,20.42,27,0.43,6.31,18,1.91,1,0
893.13,CA,228,0,0,5,20,26,13,86,440.99,4,133.49,16,0.45,7.4,0,1.51,4,1
634.83,IN,229,1,1,2,25,20,5,157,392.15,13,21.67,5,0.62,6.12,15,0.19,6,0
796.86,US,230,1,1,0,7,37,1,174,479.78,4,440.2,18,0.67,0.17,11,2.53,1,1
507.61,FR,231,1,1,7,47,14,0,176,454.87,0,125.48,55,0.5,1.95,7,2.02,5,0
581.13,IN,232,0,0,4,1,20,9,174,31.2,17,280.88,27,0.64,8.1,15,3.17,5,0
497.59,TR,233,1,1,4,5,9,4,83,242.89,15,24.29,65,0.02,2.73,0,3.11,4,1
203.29,DE,234,1,1,3,27,22,1,81,559.18,8,335.09,37,0.43,7.32,3,0.6,4,1
725.23,US,235,1,0,5,28,38,15,145,84.18,18,164.9,36,0.28,3.72,9,4.88,2,1
287.96,FR,236,0,1,2,25,4,1,193,444.89,4,449.47,67,0.13,5.22,10,0.93,9,1
34.07,IN,237,0,1,8,24,0,9,67,585.01,1,444.62,85,0.1,0.68,16,2.23,9,1
649.02,FR,238,1,0,4,11,12,1,160,40.8,14,166.02,89,0.6,1.81,6,2.44,1,0
185.34,TR,239,0,0,2,4,20,15,126,412.49,6,450.98,48,0.52,9.57,11,4.07,6,1
941.05,CA,240,0,0,0,33,25,15,163,286.21,3,498.1,42,0.25,8.9,6,0.5,0,1
954.39,FR,241,0,1,9,47,49,18,81,351.71,0,413.58,35,0.47,6.52,11,2.14,5,1
915.72,IN,242,0,1,5,36,44,6,146,60.35,12,423.21,57,0.49,4.6,14,3.14,5,0
376.46,FR,243,0,1,1,14,20,11,155,35.37,19,128.26,12,0.2,6.76,1,1.08,2,1
25.3,FR,244,0,0,2,43,17,14,167,403.45,6,290.47,51,0.65,6.19,13,3.14,1,1
929.04,FR,245,0,0,0,35,36,7,83,495.75,14,38.29,57,0.78,5.69,12,4.62,1,1
433.9,UK,246,0,1,8,14,44,5,112,471.39,13,51.98,31,0.79,0.59,3,4.99,8,0
966.99,UK,247,0,1,7,42,31,9,75,330.85,18,499.45,80,0.6,6.33,13,0.16,4,0
963.98,CA,248,0,0,1,47,35,2,121,68.92,19,166.69,99,0.51,7.69,13,1.18,6,1
854.48,US,249,1,0,7,22,16,18,142,415.95,17,375.35,59,0.06,9.94,15,1.55,4,0
301.5,FR,250,1,0,8,5,34,16,40,152.71,9,404.3,82,0.29,0.11,6,2,6,1
391.25,TR,251,0,0,0,45,48,6,166,547.53,8,429.72,57,0.09,7.3,18,1.21,3,0
852.63,US,252,1,1,4,49,10,19,1,504.58,7,498.83,98,0.96,5.72,1,1.02,7,1
323.75,TR,253,1,0,7,43,20,3,190,428.54,9,124.54,55,0.14,4.34,9,4.77,9,0
177.8,US,254,0,1,1,42,25,13,28,569.82,16,24.97,27,0.15,1.28,17,4.59,9,1
561.23,CA,255,0,1,3,44,3,19,104,28.54,1,208.54,0,0.89,4.09,16,0.23,6,1
936.79,FR,256,0,1,6,20,33,14,193,444.36,5,69.39,41,0.94,3.54,4,1.69,9,0
699.07,FR,257,1,0,2,22,47,7,50,204.84,4,16.1,81,0.77,3.03,11,2.03,4,1
